Row Labels,Sreg_amph,Sreg_birds,Sreg_mamm,Send_mam,Send_bird,Send_amph
AT1318,0,78,3,0,10,0
AT1319,11,356,68,0,3,0
AT1320,7,249,63,0,0,1
AT1321,6,193,58,0,0,0
AT1322,37,396,119,0,0,1
AT1401,116,732,255,0,0,1
AT1402,70,679,218,1,0,1
AT1403,74,688,220,0,0,0
AT1404,32,191,59,0,0,1
AT1405,56,531,126,0,0,0
IM0101,7,151,16,4,5,2
IM0102,151,541,225,1,1,10
IM0103,127,485,196,0,1,6
IM0104,96,463,175,0,0,0
IM0105,59,712,171,0,0,2
IM0106,47,455,137,0,1,4
IM0107,43,463,160,0,1,0
IM0108,61,584,169,0,0,1
IM0109,17,627,133,0,0,0
IM0110,0,48,2,0,0,0
IM0111,26,467,99,1,0,3
IM0112,25,378,103,0,0,0
IM0113,25,394,115,1,1,0
IM0114,23,307,54,7,22,8
IM0115,55,799,204,0,0,0
IM0116,15,380,66,0,0,0
IM0117,53,755,192,0,0,1
IM0118,111,568,160,0,2,13
IM0119,79,705,206,0,0,2
IM0120,50,699,179,0,0,1
IM0121,59,590,193,1,0,1
IM0122,23,335,57,1,0,0
IM0123,39,365,81,6,2,13
IM0124,51,462,111,1,0,5
IM0125,1,265,8,0,0,0
IM0126,57,639,148,0,0,7
IM0127,16,182,50,16,6,0
IM0128,37,315,76,4,8,0
IM0129,40,361,90,6,6,3
IM0130,11,271,42,7,8,2
IM0131,86,795,213,0,0,8
IM0132,55,706,175,0,0,1
IM0133,10,117,14,4,5,0
IM0134,67,477,108,0,0,3
IM0135,76,453,105,0,0,8
IM0136,66,583,192,7,0,5
IM0137,163,877,304,4,1,30
IM0138,37,491,162,0,0,0
IM0139,53,607,180,0,0,0
IM0140,61,694,204,0,0,3
IM0141,62,583,176,1,0,0
IM0142,21,378,62,0,0,0
IM0143,23,261,61,16,19,7
IM0144,86,528,209,0,0,0
IM0145,51,457,166,0,0,0
IM0146,106,571,222,2,0,9
IM0147,47,463,128,0,0,0
IM0148,0,137,0,0,0,0
IM0149,110,774,191,3,1,8
IM0150,89,427,117,0,0,2
IM0151,114,422,114,0,0,21
IM0152,97,582,176,1,7,15
IM0153,59,416,143,0,1,0
IM0154,72,314,86,1,1,30
IM0155,47,287,84,5,5,22
IM0156,9,199,21,1,6,0
IM0157,61,458,154,0,0,0
IM0158,88,570,194,1,1,4
IM0159,87,520,173,3,0,6
IM0160,47,448,145,0,0,0
IM0161,94,488,169,0,0,1
IM0162,24,325,59,0,0,0
IM0163,95,698,230,1,2,6
IM0164,29,420,102,0,0,0
IM0165,28,426,103,0,0,0
IM0166,21,628,116,1,0,1
IM0167,34,398,121,9,8,4
IM0168,33,427,117,1,0,0
IM0169,42,388,87,1,0,2
IM0170,24,179,28,4,2,2
IM0171,25,295,53,0,0,0
IM0172,33,303,62,7,13,9
IM0201,21,405,95,0,0,0
IM0202,92,721,228,0,0,1
IM0203,21,432,81,1,1,0
IM0204,19,310,57,0,0,0
IM0205,36,620,153,0,0,0
IM0206,15,454,88,0,0,0
IM0207,30,458,97,0,0,0
IM0208,22,376,68,0,0,0
IM0209,39,421,112,1,0,0
IM0210,85,595,199,0,0,5
IM0211,70,555,166,0,0,0
IM0212,31,335,85,0,0,2
IM0301,58,847,235,0,1,1
IM0302,16,326,55,3,0,0
IM0303,27,583,143,0,0,1
IM0304,49,475,157,0,0,1
IM0401,79,828,241,1,1,5
IM0402,33,646,178,0,0,0
IM0403,29,665,160,0,0,0
IM0501,64,734,225,0,0,0
IM0502,29,695,172,0,0,1
IM0701,48,705,170,0,0,0
IM0901,8,364,64,0,0,0
IM1001,91,454,177,3,1,3
IM1301,35,491,112,0,0,0
IM1302,6,267,44,0,0,0
IM1303,16,679,148,0,0,0
IM1304,10,357,72,0,0,0
IM1401,21,357,69,0,0,0
IM1402,69,705,223,0,0,0
IM1403,13,442,80,0,0,0
IM1404,67,708,215,0,0,0
IM1405,99,554,226,0,0,0
IM1406,22,343,65,0,0,0
NA0201,29,415,120,0,0,0
NA0302,61,510,217,0,0,3
NA0303,67,558,205,0,0,2
NA0401,39,245,60,0,0,0
NA0402,75,251,79,0,0,3
NA0403,93,257,76,0,0,15
NA0404,72,265,80,0,0,0
NA0405,45,313,72,0,0,0
NA0406,27,267,60,0,0,0
NA0407,29,274,61,0,0,0
NA0408,17,229,49,0,0,0
NA0409,64,299,63,0,0,0
NA0410,31,287,65,0,0,0
NA0411,36,303,67,0,0,0
NA0412,51,246,67,0,0,4
NA0413,96,306,77,0,0,0
NA0414,48,268,67,0,0,0
NA0415,24,280,67,0,0,0
NA0416,21,267,72,0,0,0
NA0417,21,220,83,2,0,0
NA0501,5,222,64,0,0,0
NA0502,6,247,68,0,0,0
NA0503,24,314,151,0,0,0
NA0504,29,284,45,0,0,0
NA0505,17,247,100,0,0,0
NA0506,19,287,90,0,0,0
NA0507,16,256,92,0,0,0
NA0508,23,258,109,0,0,1
NA0509,5,189,62,0,0,0
NA0510,24,262,94,1,0,0
NA0511,18,279,120,0,0,0
NA0512,24,259,121,0,0,0
NA0513,32,264,46,0,0,0
NA0514,9,223,67,0,0,0
NA0515,11,253,97,0,0,0
NA0516,31,265,97,0,0,2
NA0517,61,309,63,1,0,0
NA0518,14,265,95,0,0,0
NA0519,24,289,85,0,0,0
NA0520,7,209,49,0,0,0
NA0521,6,162,53,0,0,0
NA0522,10,239,87,0,0,0
NA0523,48,292,66,0,0,0
NA0524,19,258,80,0,0,0
NA0525,1,119,5,0,0,0
NA0526,12,241,66,1,0,0
NA0527,30,267,121,2,0,2
NA0528,15,278,115,0,0,0
NA0529,66,309,58,0,0,5
NA0530,14,252,106,0,0,0
NA0601,1,160,38,0,0,0
NA0602,15,214,54,0,0,0
NA0603,2,167,42,0,0,0
NA0604,2,145,43,0,0,0
NA0605,15,236,55,0,0,0
NA0606,7,153,38,0,0,0
NA0607,1,189,51,0,0,0
NA0608,9,247,66,0,0,0
NA0609,13,229,57,0,0,0
NA0610,4,190,58,0,0,0
NA0611,2,152,13,0,0,0
NA0612,4,182,53,0,0,0
NA0613,5,200,60,0,0,0
NA0614,2,186,59,0,0,0
NA0615,0,131,10,0,0,0
NA0616,8,190,51,0,0,0
NA0617,3,153,51,0,0,0
NA0701,64,388,93,0,0,0
NA0801,21,261,93,0,0,0
NA0802,13,292,86,0,0,0
NA0803,32,321,101,0,0,0
NA0804,69,329,107,0,0,0
NA0805,27,270,76,0,0,0
NA0806,40,290,77,0,0,4
NA0807,22,247,65,0,0,0
NA0808,13,264,97,0,0,0
NA0809,8,242,68,0,0,0
NA0810,19,295,94,0,0,0
NA0811,17,305,107,0,0,0
NA0812,15,249,67,0,0,0
NA0813,16,242,103,0,0,0
NA0814,54,301,73,0,0,4
NA0815,24,334,141,0,0,0
NA1101,2,201,51,0,0,0
NA1102,0,128,6,0,0,0
NA1103,1,129,34,0,0,0
NA1104,1,144,37,0,0,0
NA1105,0,30,10,0,0,0
NA1106,1,205,42,1,0,0
NA1107,1,180,39,0,0,0
NA1108,1,144,43,0,0,0
NA1109,0,47,10,0,0,0
NA1110,0,53,12,0,0,0
NA1111,1,187,61,0,0,0
NA1112,0,51,7,0,0,0
NA1113,0,50,7,0,0,0
NA1114,2,145,42,0,0,0
NA1115,0,83,24,0,0,0
NA1116,1,157,51,0,0,0
NA1117,7,217,55,0,0,0
NA1118,0,73,25,0,0,0
NA1201,19,338,83,2,1,0
NA1202,40,319,110,0,0,1
NA1203,25,323,97,0,0,1
NA1301,12,311,69,2,0,0
NA1302,54,383,163,1,0,1
NA1303,46,410,185,0,0,0
NA1304,27,318,161,0,0,0
NA1305,19,285,131,0,0,1
NA1306,4,255,59,4,0,0
NA1307,50,448,189,0,0,0
NA1308,25,296,128,1,0,1
NA1309,18,270,131,1,0,0
NA1310,33,407,154,1,0,1
NA1311,21,386,113,0,0,0
NA1312,37,421,129,0,0,0
NA1313,11,259,108,1,0,0
NT0101,181,663,184,0,0,16
NT0102,160,791,227,0,0,0
NT0103,190,683,202,2,3,1
NT0104,255,787,241,0,0,8
NT0105,175,1182,291,4,4,35
NT0106,43,342,135,0,0,0
NT0107,132,729,236,0,0,0
NT0108,42,718,216,0,0,0
NT0109,220,935,240,1,1,9
NT0111,140,694,203,1,0,8
NT0112,171,660,205,0,0,3
NT0113,45,546,180,0,0,1
NT0114,41,500,146,0,0,2
NT0115,178,965,253,2,0,10
NT0116,0,41,0,0,3,0
NT0117,71,709,200,0,0,11
NT0118,183,1225,303,0,14,25
NT0119,114,709,199,0,0,1
NT0120,56,253,32,1,1,2
NT0121,332,1371,334,2,7,77
NT0122,113,623,202,0,0,2
NT0124,217,881,264,0,0,11
NT0125,156,865,252,1,0,16
NT0126,95,676,197,0,0,0
NT0127,61,215,20,0,0,18
NT0128,236,928,292,0,0,2
NT0129,192,875,232,0,0,5
NT0130,164,768,202,0,1,1
NT0131,20,213,22,1,3,13
NT0132,142,787,253,0,0,1
NT0133,138,682,221,0,0,0
NT0134,10,171,14,0,0,1
NT0135,158,985,307,8,3,3
